bout,bout_number,date,event_name,fighter_1,fighter_2,location
Heavyweight Bout,1,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Derrick Lewis,Tallison Teixeira,"Nashville, Tennessee, USA"
Lightweight Bout,11,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Mitch Ramirez,Mike Davis,"Nashville, Tennessee, USA"
Women's Strawweight Bout,12,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Fatima Kline,Melissa Martinez,"Nashville, Tennessee, USA"
Welterweight Bout,8,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Jake Matthews,Chidi Njokuani,"Nashville, Tennessee, USA"
Welterweight Bout,7,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Max Griffin,Chris Curtis,"Nashville, Tennessee, USA"
Light Heavyweight Bout,6,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Junior Tafa,Tuco Tokkos,"Nashville, Tennessee, USA"
Heavyweight Bout,10,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Kennedy Nzechukwu,Valter Walker,"Nashville, Tennessee, USA"
Heavyweight Bout,5,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Vitor Petrino,Austen Lane,"Nashville, Tennessee, USA"
Featherweight Bout,4,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Nate Landwehr,Morgan Charriere,"Nashville, Tennessee, USA"
Featherweight Bout,3,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Calvin Kattar,Steve Garcia,"Nashville, Tennessee, USA"
Welterweight Bout,2,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Stephen Thompson,Gabriel Bonfim,"Nashville, Tennessee, USA"
Women's Flyweight Bout,9,2025-07-12,UFC Fight Night: Lewis vs. Teixeira,Lauren Murphy,Eduarda Moura,"Nashville, Tennessee, USA"
